Aspect,Model,Accuracy,Precision,Recall,F1-Score
course_content,Naive Bayes,65.0,55.0,61.7,55.8
course_content,SVM,65.0,55.0,61.7,55.8
course_content,Random Forest,53.3,48.3,51.7,46.4
teaching_quality,Naive Bayes,60.0,28.3,46.7,34.9
teaching_quality,SVM,55.0,27.5,43.3,33.0
teaching_quality,Random Forest,50.0,25.8,40.0,30.3
assessment,Naive Bayes,56.7,26.7,46.7,33.8
assessment,SVM,50.0,25.0,41.7,30.8
assessment,Random Forest,56.7,26.7,46.7,33.8
resources,Naive Bayes,30.0,16.7,35.0,21.7
resources,SVM,40.0,31.7,45.0,35.0
resources,Random Forest,36.7,18.9,41.7,25.0
infrastructure,Naive Bayes,61.7,34.4,53.3,41.3
infrastructure,SVM,56.7,32.8,48.3,38.7
infrastructure,Random Forest,56.7,26.7,46.7,33.8
